Word,Bengali Meaning,Synonyms,Antonyms,English Definition,Example Sentence,Unit (Lesson)
"Take a hand","হস্তক্ষেপ করা / অংশ নেওয়া","Participate, step in, intervene, take part, lend a hand","Stay out, withdraw, abstain, hold back","To become actively involved or take part in solving a problem.","Lifestyle B.","Unit 10: Lesson 2 (Etiquette Netquette)"
"Passage","উত্তরণ / রূপান্তর / অতিক্রম","Transition, crossing, progression, evolution","Stagnation, standstill, halt, cessation","The process of moving or transitioning from one life stage, condition, or state to another.","Biological processes drive many aspects of this growth and development with the onset of puberty marking the passage from childhood to adolescence.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Persuaded","প্ররোচিত বা সম্মত করেছিল / বোঝাতে সক্ষম হয়েছিল","Convinced, coaxed, influenced, swayed, induced","Dissuaded, deterred, discouraged","Induced someone to do something through reasoning or argument.","But Minati Rani Sheel and Mohammad Mafiz Uddin persuaded them to allow their daughters to play.","Unit 7: Lesson 3 (The Unbeaten Girls)"
"Hardships","কঠোর দুঃখকষ্ট / দুর্দশা","Adversities, privations, suffering, trials","Comfort, ease, prosperity, abundance","Severe suffering or privation.","Death soon ended what little we could have while she lived, and with it her hardships and suffering.","Unit 5: Human Rights: Frederick Douglass"
"Agony","নিদারুণ যন্ত্রণা / চরম মানসিক বা শারীরিক কষ্ট","Anguish, torment, distress, suffering, affliction","Ecstasy, delight, rapture, bliss, comfort","Extreme physical or mental suffering and deep distress.","[Unit 4: Lesson 2]: Twenty-three years of a history of men and women in agony!
[Unit 4: Transformative Speeches: Three Speeches]: Twenty-three years of a history of men and women in agony!","Unit 4: Lesson 2 (Transformative Speeches)"
"Apartheid","বর্ণবৈষম্য নীতি / জাতিবিদ্বেষ","Racism, segregation, racial discrimination, prejudice","Equality, integration, inclusion, egalitarianism","A policy or system of segregation or discrimination on grounds of race.","[Unit 4: Lesson 2]: The change was embodied in a decision which was taken to protest against apartheid legislation by peaceful demonstrations.
[Unit 4: Transformative Speeches: Three Speeches]: The change was embodied in a decision which was taken to protest against apartheid legislation by peaceful demonstrations.","Unit 4: Lesson 2 (Transformative Speeches)"
"Attitude","মনোভাব / দৃষ্টিভঙ্গি","Outlook, perspective, stance, mindset, disposition","Indifference, neutrality, apathy","A settled way of thinking or feeling about someone or something.","[Unit 4: Lesson 2]: It will enable the Court to appreciate the attitude eventually adopted by the various bodies in the National Liberation Movement.
[Unit 4: Transformative Speeches: Three Speeches]: It will enable the Court to appreciate the attitude eventually adopted by the various bodies in the National Liberation Movement.","Unit 4: Lesson 2 (Transformative Speeches)"
"Servitude","দাসত্ব / পরাধীনতা","Slavery, bondage, subjugation, thralldom","Freedom, liberty, emancipation, independence","The state of being a slave or completely subject to someone more powerful.","Read the declarations and core protections: - Article 4: No one shall be held in slavery or servitude; slavery and the slave trade shall be prohibited in all their forms.","Unit 5: Human Rights: Are We Aware of These Rights-II?"
"Decisive","নিষ্পত্তিমূলক / মোড় ঘোরানো / চূড়ান্ত","Conclusive, pivotal, key, significant, influential, critical","Insignificant, uncertain, indecisive, hesitant","Settling an issue; producing a definite result or turning point.","[Unit 4: Lesson 3]: The sudden death of Pierre Curie was a bitter blow to Marie Curie, but it was also a decisive turning point in her career.
[Unit 4: Great Women: Pioneers of Education & Science]: The sudden death of Pierre Curie was a bitter blow to Marie Curie, but it was also a decisive turning point in her career.","Unit 4: Lesson 3 (Great Women)"
"Immense","অপরিমেয় / বিপুল / সীমাহীন","Immeasurable, incalculable, enormous, mammoth, gigantic, vast","Tiny, miniature, minuscule, negligible","Extremely large or great, especially in scale or degree.","[Unit 4: Lesson 3]: Her contribution to physics had been immense, not only in her own work, but because of her influence on subsequent generations.
[Unit 4: Great Women: Pioneers of Education & Science]: Her contribution to physics had been immense, not only in her own work, but because of her influence on subsequent generations.","Unit 4: Lesson 3 (Great Women)"
"Exploitation","শোষণ / অনুচিত সুযোগ গ্রহণ","Abuse, manipulation, victimization, misuse","Protection, empowerment, fairness, respect","The action of treating someone unfairly in order to benefit from their work or vulnerability.","Unit Nine: Adolescence Lesson 1 Storms and Stresses of Adolescence A.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Vigilant","সতর্ক / সদা সজাগ / জাগ্রত দৃষ্টিসম্পন্ন","Watchful, alert, attentive, observant, guarded","Heedless, careless, negligent, oblivious","Keeping careful watch for possible danger or difficulties.","Because of his alert and vigilant presence, all predatory animals were said to have been kept within bounds.","Unit 3: Lesson 3 (The Legend of Gazi)"
"Segregation","বিচ্ছিন্নকরণ / বর্ণবিভেদ","Isolation, separation, partition, discrimination","Integration, combination, inclusion, desegregation","The enforced separation of different racial groups in a country, community, or establishment.","[Unit 4: Lesson 2]: The life of the Negro is still sadly crippled by the manacles of segregation and the chains of discrimination.
[Unit 4: Transformative Speeches: Three Speeches]: The life of the Negro is still sadly crippled by the manacles of segregation and the chains of discrimination.","Unit 4: Lesson 2 (Transformative Speeches)"
"Span","ব্যাপ্তি / বিস্তার / স্থিতিকাল","Duration, extent, stretch, period, length","Instant, point, brevity, compression","The full duration, extent, or reach of something from beginning to end.","This phase represents one Of the critical transitions in one's life span and is characterised by fast paced growth and change which are second only to those at infancy.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Duration","সময়কাল / স্থায়িত্বকাল","Period, term, span, length of time, extent","Instant, flash, moment","The time during which something continues or lasts.","[Unit 5: Lesson 5]: This is the inevitable result: I never saw my mother, to know her as such, more than four or five times in my life; and each of these times was very short in duration, and at night.
[Unit 5: Human Rights: Frederick Douglass]: And each of these times was very short in duration, and at night.","Unit 5: Lesson 5 (Frederick Douglass)"
"Brotherhood","ভ্রাতৃত্ববোধ / সম্প্রীতি / ঐক্য","Fraternity, fellowship, kinship, solidarity, companionship","Enmity, hostility, rivalry, discord","An association, or feelings of friendship, mutual support, and solidarity.","[Unit 5: Lesson 2]: They are endowed with reason and conscience and should act towards one another in the spirit of brotherhood.
[Unit 5: Human Rights: Are We Aware of These Rights-II?]: They are endowed with reason and conscience and should act towards one another in the spirit of brotherhood.
[Unit 4: Lesson 2]: They are endowed with reason and conscience and should act towards one another in the spirit of brotherhood.","Unit 5: Lesson 2 (Are We Aware of These Rights-II?)"
"Promote","উন্নীত করা / উৎসাহ দেওয়া","Raise, foster, advance, encourage, boost","Demote, discourage, impede, hinder","To support, encourage, or actively contribute to the progress or growth of something.","[Unit 9: Lesson 1]: Parents, members of tbe community, service providers, and social institutions have the responsibility to both promote adolescent development and adjustment and to intervene when problems arise.
[Unit 5: Lesson 3]: It shall promote understanding, tolerance and friendship among all nations, racial or religious groups, and shall further the activities of the United Nations for the maintenance of peace.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Fostered","লালিত-পালিত বা গড়ে তোলা / পরিপুষ্ট করা","Nurtured, cultivated, encouraged, promoted, cherished","Neglected, stifled, suppressed, discouraged","Encouraged or promoted the development of something desirable.","Relationships can also be fostered in workplaces, which may quickly change from professional to social.","Unit 8: Lesson 1 (Family)"
"Exquisite","অপরূপ সুন্দর / চমৎকার / নিখুঁত কারুকাজময়","Splendid, magnificent, elegant, superb, delicate","Crude, ordinary, common, ugly","Extremely beautiful, delicate, and pleasing to look at.","It turned out to be of such exquisite workmanship that people from far and near crowded round for a look.","Unit 1: Lesson 1 (The Parrot's Tale)"
"Flourish","সমৃদ্ধিশালী হওয়া / উন্নতি লাভ করা / বিকশিত হওয়া","Thrive, prosper, bloom, blossom","Wither, decline, languish, fail","To grow or develop in a healthy or vigorous way; thrive.","The blacksmith's trade flourished to such an extent that gold ornaments decked his wife's body, and the Police Inspector's alertness earned him a medal.","Unit 1: Lesson 1 (The Parrot's Tale)"
"Ponder","গভীরভাবে চিন্তা করা / ভাবা / অনুধ্যান করা","Contemplate, consider, deliberate, meditate, reflect","Ignore, disregard, dismiss, overlook","To think about something carefully, especially before making a decision.","They pondered the reasons behind the ignorance of the creature in question.","Unit 1: Lesson 1 (The Parrot's Tale)"
"Sigh","দীর্ঘশ্বাস ফেলা / হা-হুতাশ করা","Gasp, groan, moan, breathe out","Rejoice, cheer, laugh","To emit a long, deep, audible breath expressing sadness or exhaustion.","Outside, the green shoots of early spring sighed in the southerly breeze, filling the sky above the budding forest trees with wistful melancholy.","Unit 1: Lesson 1 (The Parrot's Tale)"
"Veritable","প্রকৃত / যথার্থ / খাঁটি / সত্যিকার","Authentic, genuine, real, actual","Fake, false, counterfeit, spurious","Being truly or very much so; real, genuine, and authentic.","They made multiple copies of various texts until there was a veritable mountain.","Unit 1: Lesson 1 (The Parrot's Tale)"
"Manners","ভদ্রতা / আদব-কায়দা / সদাচার","Courtesy, politeness, civility, etiquette, respect","Rudeness, discourtesy, bad manners, impoliteness","Polite ways of behaving toward others with social respect and consideration.","Unit Ten: Lifestyle Lesson 1 Manners Around the World A.","Unit 10: Lesson 1 (Manners Around the World)"
"Forbidden","সম্পূর্ণ নিষিদ্ধ / অননুমোদিত / বর্জনীয়","Prohibited, Banned, Disallowed, Barred, Taboo","Allowed, Permitted, Lawful, Authorized","Not allowed; banned.","Ilugging and kissing on the cheeks between same sex people in social situations are quite common though it is strictly forbidden between men and women.","Unit 10: Lesson 1 (Manners Around the World)"
"Rarely","কদাচিৎ / খুব কমই","Infrequently, hardly, seldom, scarcely","Often, frequently, regularly, usually","Not often; seldom.","Lifestyle B.","Unit 10: Lesson 2 (Etiquette Netquette)"
"Seldom","কদাচিৎ / কদাচ","Rarely, infrequently, scarcely, hardly ever","Often, frequently, constantly, always","Not often; rarely.","[Unit 10: Lesson 2]: Lifestyle B.
[Unit 5: Lesson 5]: They seldom come nearer to it than planting-time, harvest-time, cherry-time, spring-time, or fall-time.","Unit 10: Lesson 2 (Etiquette Netquette)"
"Showy","চটকদার / প্রদর্শনপ্রবণ","Ostentatious, flashy, flamboyant, gaudy","Restrained, modest, subtle, understated","Having a striking appearance or style, often excessively ornate.","Lifestyle B.","Unit 10: Lesson 2 (Etiquette Netquette)"
"Cheer","উল্লাস / আনন্দ / শুভকামনা","Joy, Happiness, Merriment, Exultation, Good spirits","Gloom, Sadness, Sorrow, Melancholy, Despair","Shouts of joy or expressions of warm salutation and happiness.","Unit Ten: Lifestyle Lesson 1 Manners Around the World A.","Unit 10: Lesson 1 (Manners Around the World)"
"Consider","বিবেচনা করা / ভেবে দেখা / গণ্য করা","Contemplate, Deliberate, Ponder, Regard, Deem","Ignore, Disregard, Overlook, Dismiss","To think carefully about something, typically before making a decision.","Greetings Shake hands softly as a firm handshake could be considered a sign of aggression.","Unit 10: Lesson 1 (Manners Around the World)"
"Frequently","বারবার / পুনঃপুনঃ / ঘনঘন / প্রায়শই","Often, Regularly, Repeatedly, Recurrently","Rarely, Seldom, Infrequently, Occasionally","Regularly or habitually; occurring many times.","[Unit 10: Lesson 1]: Gift Gifts are given frequently to show love, gratitude and respect.
[Unit 5: Lesson 4]: (equivalent of 50 kg) and a quarter on my back; have to stoop much and creep through water, which is frequently up to the calves of my legs.","Unit 10: Lesson 1 (Manners Around the World)"
"Firm","দৃঢ় / শক্ত / মজবুত","Solid, Strong, Resolute, Sturdy, Stable","Weak, Soft, Loose, Flexible, Feeble","Solid, resolute, and strongly held or gripped.","Greetings Shake hands softly as a firm handshake could be considered a sign of aggression.","Unit 10: Lesson 1 (Manners Around the World)"
"Habitual","স্বভাবগত / অভ্যাসগত / নিয়মিত","Customary, Routine, Regular, Usual, Chronic","Occasional, Rare, Infrequent, Unusual, Irregular","Done or doing constantly as a habit; customary.","Unit Ten: Lifestyle Lesson 1 Manners Around the World A.","Unit 10: Lesson 1 (Manners Around the World)"
"Nod","মাথা নেড়ে সম্মতি দেওয়া / মাথা ঝুঁকানো","Incline head, Bow, Signal, Gesture, Acknowledge","Shake head, Refuse, Disagree","To lower and raise one's head slightly and briefly in greeting or agreement.","Unit Ten: Lifestyle Lesson 1 Manners Around the World A.","Unit 10: Lesson 1 (Manners Around the World)"
"Adolescence","কৈশোর / বয়ঃসন্ধিকাল","Puberty, youth, teenage, juvenility","Adulthood, old age, senility, maturity","The transitional period of human growth and development between childhood and adulthood (ages 13 to 18).","Unit Nine: Adolescence Lesson 1 Storms and Stresses of Adolescence A.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Intentional","উদ্দেশ্যমূলক / ইচ্ছাকৃত","Deliberate, willful, intended, planned, conscious","Unintentional, undesigned, accidental","Done with conscious intention, purpose, premeditation, or design.","Unit Nine: Adolescence Lesson 1 Storms and Stresses of Adolescence A.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Unintentional","অনিচ্ছাকৃত / অনভিপ্রেত","Accidental, sudden, inadvertent, unintended","Intentional, deliberate, premeditated","Done not on purpose or without conscious design.","Unit Nine: Adolescence Lesson 1 Storms and Stresses of Adolescence A.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Personalised","ব্যক্তিমাফিক / ব্যক্তিকেন্দ্রিক","Customized, individualized, tailored, personal","Standardized, generic, universal, uniform","Designed or altered to meet the specific requirements or abilities of an individual student.","As a tool in the classroom, AI can provide students with personalised learning experiences, automate repetitive tasks and provide instant feedback.","Unit 1: Lesson 2 (Education and Technology)"
"Gaudy","অতিরিক্ত জমকালো / চটুল / ভড়ংপূর্ণ","Flashy, garish, showy, ostentatious, loud","Subtle, modest, understated, elegant","Extravagantly bright or showy, typically so as to be tasteless.","She walks in beauty, like the night Of cloudless climes and starry skies; And all that's best of dark and bright Meet in her aspect and her eyes; Thus mellowed to that tender light Which heaven to gaudy day denies.","Unit 2: Lesson 1 (What is Beauty?)"
"Manifestation","বহিঃপ্রকাশ / প্রকাশরূপ / নিদর্শন","Demonstration, embodiment, revelation, expression, display","Concealment, suppression, hiding","An event, action, or object that clearly shows or embodies something.","Folk music consists of songs and music of a community that are not influenced by any sophisticated musical rules or any standard musical styles.","Unit 2: Lesson 2 (Folk Music)"
"Anguish","তীব্র মনোকষ্ট / মানসিক বা শারীরিক যন্ত্রণা","Agony, torment, distress, heartache, misery","Joy, contentment, relief, bliss","Severe mental or physical pain or intense suffering.","Art is generally understood as an expression of human imagination and creative skills in a range of activities including painting, drawing, sculpture and architecture.","Unit 2: Lesson 3 (Art)"
"Substantial","উল্লেখযোগ্য / পর্যাপ্ত / অর্থবহ পরিমাণ","Considerable, significant, ample, sizable, meaningful","Negligible, trivial, minor, insignificant, meager","Of considerable importance, size, or worth.","Education and Life 27 D.","Unit 1: Lesson 4 (Civic Engagement)"
"Leafy","পত্রবহুল / পাতাময় / শ্যামল","Foliaged, verdant, lush, green, wooded","Barren, leafless, desolate, bare","Having or covered with many leaves or foliage.","I look around me and discover a leafy dome—Jaam, Kanthal, Bat, Hijol and Aswatha trees all in a hush, Shadowing clumps of cactus and zedoary bushes.","Unit 3: Lesson 1 (Myths of Bengal)"
"Prosper","সমৃদ্ধ হওয়া / উন্নতি করা / সুফল পাওয়া","Thrive, flourish, succeed, blossom, boom","Decline, wither, fail, languish","Succeed in activity, typically by making good economic progress.","""Jodi borshe magher shesh, dhonyi rajar punyi desh.""","Unit 3: Lesson 4 (Khona)"
"Nationality","জাতীয়তা / রাষ্ট্রীয় নাগরিকত্ব","Citizenship, statehood, allegiance, identity","Statelessness, exile","The status of belonging to a particular nation by origin, birth, or naturalization.","Article 15: (1) Everyone has the right to a nationality.","Unit 5: Lesson 1 (Are We Aware of These Rights-I?)"
"Deprived","বঞ্চিত / অধিকারচ্যুত / সুবিধা বঞ্চিত","Dispossessed, stripped, robbed, destitute, denied","Privileged, endowed, blessed, wealthy","Suffering a severe and damaging lack of basic material and cultural benefits.","[Unit 5: Lesson 1]: (2) No one shall be arbitrarily deprived of his nationality nor denied the right to change his nationality.
[Unit 5: Lesson 5]: I could not tell why I ought to be deprived of the same privilege.","Unit 5: Lesson 1 (Are We Aware of These Rights-I?)"
"Dignity","মর্যাদা / আত্মসম্মান / ব্যক্তিত্বের গৌরব","Honor, self-respect, prestige, stature, worthiness","Humiliation, dishonor, shame, degradation","The state or quality of being worthy of honor or respect.","[Unit 5: Lesson 2]: Universal Declaration of Human Rights: Article 1: All human beings are born free and equal in dignity and rights.
[Unit 12: Lesson 4]: Fundamental to both the concept of Environmental Justice and the activist EJ movement is the search for fair ways of sharing environmental burdens and benefits and collectively creating a future in which the dignity and rights of all people are respected.","Unit 5: Lesson 2 (Are We Aware of These Rights-II?)"
"Restless","অস্থির / বিদ্রোহী মনোভাবাপন্ন / অবাধ্য","Rebellious, unruly, agitated, questioning, unquiet","Submissive, calm, docile, obedient","Unable to rest or relax as a result of anxiety, boredom, or yearning for freedom.","He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.","Unit 5: Lesson 5 (Frederick Douglass)"
"Cognitive","বুদ্ধিবৃত্তিক / জ্ঞান ও উপলব্ধিসম্পর্কিত","Mental, intellectual, perceptual, rational, cognitive-process","Instinctive, visceral, mindless","Relating to cognition; the mental process of acquiring knowledge and understanding.","Unit Six: Dreams Lesson 1 What is a Dream?","Unit 6: Lesson 1 (What is a Dream?)"
"Strive","কঠোর প্রচেষ্টা চালানো / ক্লান্তিহীন সংগ্রাম করা","Struggle, endeavor, labor, aspire, toil","Surrender, yield, give up, idle","Make great efforts to achieve or obtain something.","Poets give voice to What we desire and strive hard IO achieve.","Unit 6: Lesson 2 (Dreams in Literature)"
"Goaded","প্রণোদিত বা তাড়িত করল / প্ররোচিত করল","Prodded, spurred, impelled, provoked, urged","Dissuaded, restrained, discouraged","Provoked or annoyed someone so as to stimulate some action or reaction.","The aim, which goaded me to swim the Channel six times, each time risking my life and reputation, was so close.","Unit 7: Lesson 1 (Brojen Das)"
"Psyche","মানবিক আত্মা / মন ও প্রণোদনার উৎস","Soul, spirit, mind, inner self, subconscious","Physical flesh, corporeal body","The human soul, mind, or spirit.","Relationships 143 With the piercing sound of a vehicle screeching to a hall, Yingzi's life flies in the air gently.","Unit 8: Lesson 4 (Love)"
"Adulthood","প্রাপ্তবয়স্ক অবস্থা / যৌবনোত্তর পরিনত জীবন","Maturity, legal age, full age, womanhood/manhood","Childhood, infancy, adolescence","The state or condition of being fully grown or mature.","Adolescence is a period in life when transition from childhood to adulthood takes place and behaviours and life styles are shaped.","Unit 9: Lesson 2 (Problems in Bangladesh)"
"Convinced","নিশ্চিত / সম্মত বা যুক্তি দ্বারা প্রত্যয়ী","Persuaded, assured, certain, positive, converted","Doubtful, skeptical, unconvinced","Completely certain about something; persuaded by argument or evidence.","Like many other South Asian countries, in Bangladesh, the gravity of sexual harassment in public spaces has been diluted and almost 'normalised' through calling it 'eve-teasing'.","Unit 9: Lesson 4 (Story of Shilpi)"
"Stunning","চমকপ্রদ / চোখধাঁধানো রূপ বা সৌন্দর্য","Dazzling, breathtaking, splendid, gorgeous, magnificent","Hideous, plain, unattractive","Extremely impressive or attractive.","Lifestyle 191 C.","Unit 10: Lesson 5 (Consumerism)"
"Gallant","শৌর্যশীল","Gracious","Discourteous","Brave, heroic, or exceptionally noble and grand.","Then went I to a garden and did spy A gallant flower, The crown-imperial: Sure, said I, Peace at the root must dwell.","Unit 11: Lesson 4 (Peace in Literature)"
"Hollow","ফাঁপা","Void, empty","Real","Having a hole or empty space inside; devoid of substance or truth.","A hollow wind did seem to answer, No: Go seek elsewhere.","Unit 11: Lesson 4 (Peace in Literature)"
"Accompanied","সংযুক্ত / সাথে বিদ্যমান বা সাহচর্যে থাকা","Attended, escorted, partnered, accompanied by, joined","Unaccompanied, solitary, abandoned","Having someone or something along as a companion or accompaniment.","See these iconic photographs captured in various war settings across the world over the past hundred years, accompanied by key factual information.","Unit 11: Lesson 5 (Opinions through Images)"
"Shortsighted","দূরদৃষ্টিহীন","Thoughtless, ill-considered, ill-judged","Far-sighted, visionary","Lacking foresight or consideration of the future consequences of an action.","What is often regarded as a natural disaster is upon closer examination the result of sometimes shortsighted and other times reckless, even pernicious corporate, governmental, or individual environmental practices that target and disadvantage vulnerable groups.","Unit 12: Lesson 4 (Environmental Justice)"
"Prohibited","নিষিদ্ধ করা","Forbidden, banned, outlawed, disallowed","Permitted, authorized, sanctioned, allowed","Formally forbid something by law, rule, or other authority.","Read the declarations and core protections: - Article 4: No one shall be held in slavery or servitude; slavery and the slave trade shall be prohibited in all their forms.","Unit 5: Human Rights: Are We Aware of These Rights-II?"
"Conversion","রূপান্তর / পরিবর্তন","Transformation, adaptation, alteration, turning","Preservation, maintenance, stagnation","The process of changing or causing something to change from one form to another.","Direct to Indirect Speech Conversion: Read the testimonies again.","Unit 5: Human Rights: Coal Miners"
"Racism","বর্ণবাদ / বর্ণবৈষম্য","Racial prejudice, discrimination, bigotry, xenophobia","Egalitarianism, tolerance, equality","Prejudice, discrimination, or antagonism directed against someone of a different race.","What is the connection between slavery and racism?","Unit 5: Human Rights: Frederick Douglass"
"Resentment","ক্ষোভ / আক্রোশ","Bitterness, indignation, anger, grudge","Goodwill, forgiveness, affection, contentment","Bitter indignation at having been treated unfairly.","I was filled with passionate resentment that any woman should go away and leave her son.","Unit 8: Relationships: A Mother in Mannville"
"Ecstasy","পরমানন্দ / তীব্র উল্লাস","Rapture, bliss, euphoria, elation","Misery, despair, anguish, torment","An overwhelming feeling of great happiness or joyful excitement.","Other days they ran with a common ecstasy through the laurel and he brought me back vermilion maple leaves, and chestnut boughs dripping with imperial yellow.","Unit 8: Relationships: A Mother in Mannville"
"Thoughtless","বিবেচনাহীন / অবিমৃশ্যকারী","Inconsiderate, heedless, careless, unthinking","Thoughtful, considerate, attentive, prudent","Not showing consideration for the needs of other people.","There is a limit up to which it can put up with its cruel and thoughtless treatment.","Unit 12: Environment and Nature: Water, Water Everywhere..."
"Privileged","বিশেষ সুবিধাভোগী","Advantaged, elite, favored, endowed","Underprivileged, disadvantaged, marginalized","Having special rights, advantages, or immunities.","[Unit 5: Human Rights: Frederick Douglass]: I could not tell why I ought to be deprived of the same privilege.
[Unit 12: Lesson 4]: Simultaneously, the benefits of that overconsumption are enjoyed primarily by the privileged around the world, a fraction of the earth's population.","Unit 5: Human Rights: Frederick Douglass"
"Arable","চাষযোগ্য জমি","Cultivable, fertile, tillable, productive","Barren, infertile, sterile, desolate","Used or suitable for growing crops.","Environmental Justice therefore represents a new, important body of thought and action at the beginning of the twenty-first century, especially as people around the world face the realities of climate change, increasing toxicity, resource depletion, and the rapid disappearance of species and arable land on which the health of many human communities depends.","Unit 12: Environment and Nature: What is Environmental Justice?"
